activePeers,direction,level,msg,current_slot,max_slot,estimated_time_remaining,multiAddr,prefix,time,required,suitable,blocksPerSecond,peers,root,slot
29,,info,Peer disconnected,,,,/ip4/213.136.76.177/tcp/9000/p2p/16Uiu2HAkz6tg4WcNjDjS5bZG5XhU6VYWy95Xfafn4xvXsDQvY2dd,p2p,2020-10-07T17:44:16Z,,,,,,
,,info,Processing block batch of size 51 starting from  0x4dac8c8d,246661,462220, 4h2m44s,,initial-sync,2020-10-07T17:44:18Z,,,14.8,29,,
,,info,Processing block batch of size 50 starting from  0x9bd0af04,246725,462221, 3h57m51s,,initial-sync,2020-10-07T17:44:22Z,,,15.1,29,,
,,info,Processing block batch of size 55 starting from  0xfe5d7832,246788,462221, 3h21m9s,,initial-sync,2020-10-07T17:44:24Z,,,17.9,29,,
,,info,Processing block batch of size 53 starting from  0x154eb5b4,246852,462221, 3h17m13s,,initial-sync,2020-10-07T17:44:27Z,,,18.2,29,,
,,info,Processing block batch of size 48 starting from  0x7fa44d1a,246916,462221, 3h17m42s,,initial-sync,2020-10-07T17:44:30Z,,,18.1,29,,
,,info,Processing block batch of size 56 starting from  0x343435f5,246980,462222, 3h16m34s,,initial-sync,2020-10-07T17:44:33Z,,,18.2,29,,
,,info,Processing block batch of size 53 starting from  0x89fc5391,247044,462222, 3h15m58s,,initial-sync,2020-10-07T17:44:36Z,,,18.3,29,,
,,info,Processing block batch of size 52 starting from  0x1d1102b1,247108,462222, 3h15m22s,,initial-sync,2020-10-07T17:44:39Z,,,18.4,29,,
,,info,Processing block batch of size 51 starting from  0x177fd442,247172,462222, 3h14m47s,,initial-sync,2020-10-07T17:44:42Z,,,18.4,29,,
,,info,Processing block batch of size 53 starting from  0x5ee86c52,247237,462223, 3h15m47s,,initial-sync,2020-10-07T17:44:44Z,,,18.3,29,,
,,info,Processing block batch of size 46 starting from  0xf5d0d0c6,247301,462223, 3h19m33s,,initial-sync,2020-10-07T17:44:47Z,,,17.9,29,,
,,info,Processing block batch of size 51 starting from  0x0254b5fa,247364,462223, 3h17m50s,,initial-sync,2020-10-07T17:44:50Z,,,18.1,29,,
,,info,Processing block batch of size 47 starting from  0x9239ee7b,247428,462223, 2h55m3s,,initial-sync,2020-10-07T17:44:53Z,,,20.4,29,,
,,info,Processing block batch of size 54 starting from  0xa9c8e996,247492,462224, 2h55m51s,,initial-sync,2020-10-07T17:44:56Z,,,20.4,29,,
,,info,Processing block batch of size 51 starting from  0x0d8d54cb,247556,462224, 3h22m42s,,initial-sync,2020-10-07T17:44:59Z,,,17.6,29,,
,,info,Processing block batch of size 49 starting from  0xb26a28da,247620,462224, 3h23m48s,,initial-sync,2020-10-07T17:45:02Z,,,17.6,29,,
,,info,Processing block batch of size 45 starting from  0x7d63281a,247684,462224, 3h28m29s,,initial-sync,2020-10-07T17:45:05Z,,,17.1,29,,
,,info,Processing block batch of size 49 starting from  0x4ee0ad68,247748,462225, 3h26m37s,,initial-sync,2020-10-07T17:45:08Z,,,17.3,29,,
,,info,Processing block batch of size 47 starting from  0x76a1c29a,247812,462225, 3h28m58s,,initial-sync,2020-10-07T17:45:11Z,,,17.1,29,,
,,info,Processing block batch of size 46 starting from  0xeeec4061,247876,462225, 3h29m31s,,initial-sync,2020-10-07T17:45:14Z,,,17.1,29,,
,,info,Saved state in DB,,,,,state-gen,2020-10-07T17:45:17Z,,,,,ef2d9231d77d,247807
,,info,Processing block batch of size 49 starting from  0x5342ccee,247940,462225, 3h32m35s,,initial-sync,2020-10-07T17:45:17Z,,,16.8,29,,
,,info,Processing block batch of size 53 starting from  0x325bc7d6,248004,462226, 3h31m15s,,initial-sync,2020-10-07T17:45:20Z,,,16.9,29,,
,,info,Processing block batch of size 51 starting from  0x1ae96d98,248070,462226, 4h1m59s,,initial-sync,2020-10-07T17:45:27Z,,,14.8,29,,
,,info,Processing block batch of size 54 starting from  0x80ebb38a,248132,462226, 4h42m4s,,initial-sync,2020-10-07T17:45:30Z,,,12.7,29,,
,,info,Processing block batch of size 50 starting from  0x7d1f34c2,248196,462227, 3h55m27s,,initial-sync,2020-10-07T17:45:33Z,,,15.2,29,,
32,2,info,Peer connected,,,,/ip4/51.210.9.77/tcp/9000/p2p/16Uiu2HAmKz9RsaA48TkM6Y4FMUpGa733DBcQiJTU8zcsvfG1DB4z,p2p,2020-10-07T17:45:45Z,,,,,,
29,,info,Peer disconnected,,,,/ip4/23.124.84.197/tcp/13421/p2p/16Uiu2HAm3R1Mz2r76e2cqZm78zSqHNh4kmw2C2WpmNb1UehFd4Kz,p2p,2020-10-07T17:45:49Z,,,,,,
30,2,info,Peer connected,,,,/ip4/34.91.184.188/tcp/9002/p2p/16Uiu2HAmUZCFuhTwYEfUmRGjPLwoRZeoZyg9pv8FgzKjaXFXfBFM,p2p,2020-10-07T17:45:57Z,,,,,,
29,,info,Peer disconnected,,,,/ip4/51.210.9.77/tcp/9000/p2p/16Uiu2HAmKz9RsaA48TkM6Y4FMUpGa733DBcQiJTU8zcsvfG1DB4z,p2p,2020-10-07T17:46:03Z,,,,,,
,,info,Processing block batch of size 54 starting from  0x54a6fde9,248260,462230, 22h0m48s,,initial-sync,2020-10-07T17:46:12Z,,,2.7,29,,
32,,info,Peer disconnected,,,,/ip4/34.91.184.188/tcp/9002/p2p/16Uiu2HAmUZCFuhTwYEfUmRGjPLwoRZeoZyg9pv8FgzKjaXFXfBFM,p2p,2020-10-07T17:46:15Z,,,,,,
,,info,Processing block batch of size 44 starting from  0x63d56d95,248324,462230, 12h7m34s,,initial-sync,2020-10-07T17:46:15Z,,,4.9,28,,
31,2,info,Peer connected,,,,/ip4/99.156.84.164/tcp/9000/p2p/16Uiu2HAmComVA8ivc9WDXj1eVumZCbYNN6x1LdBHenoADepdb8eo,p2p,2020-10-07T17:46:16Z,,,,,,
,,info,Processing block batch of size 43 starting from  0x470ddb60,248388,462230, 8h25m32s,,initial-sync,2020-10-07T17:46:18Z,,,7,29,,
31,2,info,Peer connected,,,,/ip4/173.14.227.241/tcp/9001/p2p/16Uiu2HAmS1e6DhvXMYGgsGAocjPmASH5WktYsVMxCf7TAB54LpWR,p2p,2020-10-07T17:46:19Z,,,,,,
31,2,info,Peer connected,,,,/ip4/50.92.120.242/tcp/9001/p2p/16Uiu2HAmTb9Ttdp6YXdGd721RsSeHa8ZnCPLPNCrSJv59A5mq6tG,p2p,2020-10-07T17:46:20Z,,,,,,
,,info,Processing block batch of size 46 starting from  0x3675d946,248452,462231, 6h21m4s,,initial-sync,2020-10-07T17:46:20Z,,,9.3,31,,
,,info,Processing block batch of size 50 starting from  0x5fd740d7,248516,462231, 5h0m35s,,initial-sync,2020-10-07T17:46:24Z,,,11.8,31,,
,,info,Processing block batch of size 51 starting from  0x65e08ba4,248580,462231, 4h7m16s,,initial-sync,2020-10-07T17:46:26Z,,,14.4,31,,
,,info,Processing block batch of size 45 starting from  0x4664e65c,248646,462231, 3h33m47s,,initial-sync,2020-10-07T17:46:30Z,,,16.6,31,,
,,info,Processing block batch of size 47 starting from  0xc5bf7d60,248708,462232, 3h38m19s,,initial-sync,2020-10-07T17:46:33Z,,,16.3,31,,
,,info,Processing block batch of size 37 starting from  0x7f61e4d3,248772,462232, 3h43m3s,,initial-sync,2020-10-07T17:46:36Z,,,15.9,31,,
,,info,Processing block batch of size 35 starting from  0xd239cba0,248836,462232, 4h28m25s,,initial-sync,2020-10-07T17:46:40Z,,,13.2,31,,
30,,info,Peer disconnected,,,,/ip4/173.14.227.241/tcp/9001/p2p/16Uiu2HAmS1e6DhvXMYGgsGAocjPmASH5WktYsVMxCf7TAB54LpWR,p2p,2020-10-07T17:46:41Z,,,,,,
,,info,Processing block batch of size 54 starting from  0x97b0ce6c,248900,462233, 4h24m21s,,initial-sync,2020-10-07T17:46:44Z,,,13.4,30,,
,,info,Processing block batch of size 47 starting from  0x96872f33,248964,462233, 4h28m15s,,initial-sync,2020-10-07T17:46:47Z,,,13.2,30,,
,,info,Processing block batch of size 51 starting from  0x5cff2ae8,249028,462233, 4h22m14s,,initial-sync,2020-10-07T17:46:50Z,,,13.6,30,,
,,info,Processing block batch of size 48 starting from  0xafd25164,249092,462233, 4h21m12s,,initial-sync,2020-10-07T17:46:53Z,,,13.6,30,,
,,info,Processing block batch of size 48 starting from  0x417c4cf6,249156,462234, 4h10m58s,,initial-sync,2020-10-07T17:46:56Z,,,14.2,30,,
,,info,Processing block batch of size 50 starting from  0xdb543d47,249222,462234, 3h33m13s,,initial-sync,2020-10-07T17:46:59Z,,,16.6,30,,
,,info,Processing block batch of size 49 starting from  0x0fc00d48,249285,462234, 3h24m33s,,initial-sync,2020-10-07T17:47:02Z,,,17.4,30,,
,,info,Processing block batch of size 53 starting from  0x4cb7ddd1,249348,462235, 7h46m51s,,initial-sync,2020-10-07T17:47:16Z,,,7.6,30,,
,,info,Processing block batch of size 48 starting from  0x03ccfa16,249412,462235, 7h52m56s,,initial-sync,2020-10-07T17:47:19Z,,,7.5,30,,
,,info,Processing block batch of size 48 starting from  0x11da433a,249476,462236, 7h55m58s,,initial-sync,2020-10-07T17:47:22Z,,,7.5,30,,
,,info,Processing block batch of size 53 starting from  0x073e0810,249540,462236, 5h50m59s,,initial-sync,2020-10-07T17:47:25Z,,,10.1,30,,
,,info,Processing block batch of size 48 starting from  0x2738ed2e,249605,462236, 4h43m30s,,initial-sync,2020-10-07T17:47:28Z,,,12.5,30,,
,,info,Processing block batch of size 47 starting from  0xefc1cb46,249669,462236, 3h58m34s,,initial-sync,2020-10-07T17:47:31Z,,,14.8,30,,
,,info,Processing block batch of size 48 starting from  0x5d66cb8b,249732,462237, 3h25m19s,,initial-sync,2020-10-07T17:47:33Z,,,17.2,30,,
,,info,Processing block batch of size 50 starting from  0x501fc67f,249796,462237, 3h27m3s,,initial-sync,2020-10-07T17:47:36Z,,,17.1,30,,
29,,info,Peer disconnected,,,,/ip4/99.156.84.164/tcp/9000/p2p/16Uiu2HAmComVA8ivc9WDXj1eVumZCbYNN6x1LdBHenoADepdb8eo,p2p,2020-10-07T17:47:38Z,,,,,,
,,info,Processing block batch of size 51 starting from  0x4ea936ee,249860,462237, 3h25m11s,,initial-sync,2020-10-07T17:47:40Z,,,17.2,29,,
,,info,Processing block batch of size 52 starting from  0x1017de3a,249924,462237, 3h22m46s,,initial-sync,2020-10-07T17:47:42Z,,,17.4,29,,
,,info,Saved state in DB,,,,,state-gen,2020-10-07T17:47:45Z,,,,,44577cf101d7,249856
,,info,Processing block batch of size 44 starting from  0x155087bf,249988,462238, 3h28m5s,,initial-sync,2020-10-07T17:47:45Z,,,17,29,,
,,info,Processing block batch of size 54 starting from  0x7ae5090a,250052,462238, 3h24m25s,,initial-sync,2020-10-07T17:47:48Z,,,17.3,29,,
,,info,Processing block batch of size 49 starting from  0x8bd9153c,250116,462238, 3h23m10s,,initial-sync,2020-10-07T17:47:51Z,,,17.4,29,,
30,2,info,Peer connected,,,,/ip4/167.99.6.252/tcp/9000/p2p/16Uiu2HAmRDT4hcxhzfBpCAhfmtP33KovCr3h5MJQMvnQdoxFZ3tB,p2p,2020-10-07T17:47:52Z,,,,,,
,,info,Processing block batch of size 49 starting from  0x11f3199f,250181,462238, 3h22m32s,,initial-sync,2020-10-07T17:47:53Z,,,17.4,30,,
,,info,Processing block batch of size 46 starting from  0xc6116290,250244,462239, 2h58m53s,,initial-sync,2020-10-07T17:47:56Z,,,19.8,30,,
,,info,Processing block batch of size 44 starting from  0x52d42299,250309,462239, 3h1m36s,,initial-sync,2020-10-07T17:47:59Z,,,19.4,30,,
,,info,Processing block batch of size 51 starting from  0xe4bd0259,250373,462239, 4h1m1s,,initial-sync,2020-10-07T17:48:07Z,,,14.7,30,,
,,info,Processing block batch of size 50 starting from  0x2918e0f4,250436,462240, 4h4m17s,,initial-sync,2020-10-07T17:48:09Z,,,14.4,30,,
,,info,Processing block batch of size 52 starting from  0x4bebbc82,250500,462240, 4h50m27s,,initial-sync,2020-10-07T17:48:13Z,,,12.2,30,,
,,info,Processing block batch of size 47 starting from  0xaf2e1444,250564,462240, 4h49m10s,,initial-sync,2020-10-07T17:48:16Z,,,12.2,30,,
,,info,Processing block batch of size 43 starting from  0x5fda2b53,250628,462240, 4h50m16s,,initial-sync,2020-10-07T17:48:19Z,,,12.2,30,,
,,info,Processing block batch of size 55 starting from  0xba5ee1e0,250692,462241, 3h56m37s,,initial-sync,2020-10-07T17:48:22Z,,,14.9,30,,
,,info,Processing block batch of size 50 starting from  0xa49b495b,250756,462241, 3h22m34s,,initial-sync,2020-10-07T17:48:25Z,,,17.4,30,,
,,info,Processing block batch of size 46 starting from  0x0ae6ab45,250820,462241, 3h25m27s,,initial-sync,2020-10-07T17:48:29Z,,,17.1,30,,
,,info,Processing block batch of size 51 starting from  0x481093c3,250884,462242, 3h24m48s,,initial-sync,2020-10-07T17:48:32Z,,,17.2,30,,
,,info,Processing block batch of size 51 starting from  0x57aca4e7,250948,462242, 3h25m20s,,initial-sync,2020-10-07T17:48:35Z,,,17.1,30,,
,,info,Processing block batch of size 53 starting from  0xdd6ea181,251012,462242, 3h21m44s,,initial-sync,2020-10-07T17:48:38Z,,,17.4,30,,
,,info,Processing block batch of size 55 starting from  0xe664d638,251076,462242, 3h14m58s,,initial-sync,2020-10-07T17:48:40Z,,,18.1,30,,
,,info,Processing block batch of size 50 starting from  0x9523e4b7,251140,462242, 3h17m39s,,initial-sync,2020-10-07T17:48:43Z,,,17.8,30,,
,,info,Processing block batch of size 56 starting from  0x48c08745,251205,462243, 3h14m19s,,initial-sync,2020-10-07T17:48:45Z,,,18.1,30,,
,,info,Processing block batch of size 45 starting from  0x7a750419,251270,462243, 2h52m47s,,initial-sync,2020-10-07T17:48:48Z,,,20.4,30,,
,,info,Processing block batch of size 51 starting from  0xb88958de,251332,462243, 2h50m38s,,initial-sync,2020-10-07T17:48:51Z,,,20.6,30,,
,,info,Processing block batch of size 54 starting from  0x38354960,251396,462243, 2h49m21s,,initial-sync,2020-10-07T17:48:53Z,,,20.8,30,,
,,info,Processing block batch of size 43 starting from  0xaa80e071,251460,462244, 2h52m37s,,initial-sync,2020-10-07T17:48:56Z,,,20.4,30,,
,,info,Processing block batch of size 52 starting from  0x630c3dc7,251524,462244, 2h53m0s,,initial-sync,2020-10-07T17:48:59Z,,,20.3,30,,
,,info,Processing block batch of size 46 starting from  0x828bea84,251589,462244, 2h56m52s,,initial-sync,2020-10-07T17:49:02Z,,,19.9,30,,
29,,info,Peer disconnected,,,,/ip4/108.53.117.204/tcp/9000/p2p/16Uiu2HAm84dzPExSGhu2XEBhL1MM5kMMnC9VYBC6aipVXJnieVNY,p2p,2020-10-07T17:49:04Z,,,,,,
,,info,Processing block batch of size 55 starting from  0x83e6d1dc,251652,462244, 3h53m12s,,initial-sync,2020-10-07T17:49:07Z,,,15.1,29,,
,,info,Processing block batch of size 54 starting from  0xc4a17642,251716,462245, 3h50m50s,,initial-sync,2020-10-07T17:49:11Z,,,15.2,29,,
,,info,Processing block batch of size 52 starting from  0xad4ac14c,251781,462245, 3h52m18s,,initial-sync,2020-10-07T17:49:14Z,,,15.1,29,,
,,info,Processing block batch of size 52 starting from  0x5d3288a8,251844,462245, 3h45m30s,,initial-sync,2020-10-07T17:49:17Z,,,15.6,29,,
30,2,info,Peer connected,,,,/ip4/34.91.184.188/tcp/9000/p2p/16Uiu2HAm7kEaADPrJbiSzh7qrtbSc2PDWFH6HKpUypgnjsZTJJPx,p2p,2020-10-07T17:49:18Z,,,,,,
,,info,Processing block batch of size 53 starting from  0x0184ddd1,251909,462245, 3h44m43s,,initial-sync,2020-10-07T17:49:19Z,,,15.6,30,,
,,info,Processing block batch of size 48 starting from  0xc213c9a8,251972,462246, 3h43m13s,,initial-sync,2020-10-07T17:49:22Z,,,15.7,30,,
,,info,Saved state in DB,,,,,state-gen,2020-10-07T17:49:25Z,,,,,be7dcb571a40,251904
,,info,Processing block batch of size 49 starting from  0x2c490668,252036,462246, 3h13m1s,,initial-sync,2020-10-07T17:49:25Z,,,18.1,30,,
,,info,Processing block batch of size 48 starting from  0x3ec5364e,252101,462246, 3h16m45s,,initial-sync,2020-10-07T17:49:28Z,,,17.8,30,,
,,info,Processing block batch of size 50 starting from  0x6348fb91,252164,462246, 2h52m28s,,initial-sync,2020-10-07T17:49:30Z,,,20.3,30,,
,,info,Processing block batch of size 49 starting from  0xe3947a25,252228,462247, 2h54m34s,,initial-sync,2020-10-07T17:49:33Z,,,20.1,30,,
,,info,Processing block batch of size 52 starting from  0x1a5b4b7f,252292,462247, 2h54m31s,,initial-sync,2020-10-07T17:49:36Z,,,20.1,30,,
,,info,Processing block batch of size 48 starting from  0x4e68192a,252356,462247, 3h23m22s,,initial-sync,2020-10-07T17:49:39Z,,,17.2,30,,
29,,info,Peer disconnected,,,,/ip4/107.150.35.154/tcp/9001/p2p/16Uiu2HAkubCKX2p7VHUUyti1D38NN6DjRhctKXnJtLK1t4vifj5E,p2p,2020-10-07T17:49:40Z,,,,,,
,,info,Processing block batch of size 49 starting from  0x96f2dd60,252420,462247, 3h22m43s,,initial-sync,2020-10-07T17:49:42Z,,,17.2,29,,
,,info,Processing block batch of size 54 starting from  0xae881422,252484,462248, 2h55m14s,,initial-sync,2020-10-07T17:49:44Z,,,19.9,29,,
,,info,Processing block batch of size 50 starting from  0x3411628d,252548,462248, 3h18m34s,,initial-sync,2020-10-07T17:49:48Z,,,17.6,29,,
,,info,Processing block batch of size 50 starting from  0x16ec169f,252612,462248, 3h18m31s,,initial-sync,2020-10-07T17:49:50Z,,,17.6,29,,
,,info,Processing block batch of size 53 starting from  0x059029b2,252677,462248, 3h16m13s,,initial-sync,2020-10-07T17:49:53Z,,,17.8,29,,
34,2,info,Peer connected,,,,/ip4/206.45.199.179/tcp/9000/p2p/16Uiu2HAmFPwNAHyCZGeFe4Qvb3p9n6nRdtpdWJeANSriyGCMrbKo,p2p,2020-10-07T17:49:55Z,,,,,,
,,info,Processing block batch of size 32 starting from  0x38d6d439,252746,462249, 3h27m50s,,initial-sync,2020-10-07T17:49:56Z,,,16.8,30,,
33,2,info,Peer connected,,,,/ip4/178.128.91.124/tcp/9001/p2p/16Uiu2HAmAc3wLnqTRfdxDt3paSyUhGZpzjyZ5kVLKieAGGAZC8ZX,p2p,2020-10-07T17:49:58Z,,,,,,
,,info,Processing block batch of size 51 starting from  0x682155b1,252804,462249, 3h25m56s,,initial-sync,2020-10-07T17:50:00Z,,,16.9,31,,
,,info,Processing block batch of size 53 starting from  0xcd296ee4,252868,462249, 3h23m28s,,initial-sync,2020-10-07T17:50:03Z,,,17.1,31,,
,,info,Processing block batch of size 51 starting from  0x4b414572,252932,462249, 3h25m12s,,initial-sync,2020-10-07T17:50:06Z,,,17,31,,
,,info,Processing block batch of size 48 starting from  0xf6605e9f,252996,462250, 3h26m21s,,initial-sync,2020-10-07T17:50:10Z,,,16.9,31,,
,,info,Processing block batch of size 54 starting from  0xdc92ec7a,253060,462250, 3h23m53s,,initial-sync,2020-10-07T17:50:12Z,,,17.1,31,,
,,info,Processing block batch of size 51 starting from  0x6c15848a,253124,462250, 3h46m19s,,initial-sync,2020-10-07T17:50:16Z,,,15.4,31,,
30,,info,Peer disconnected,,,,/ip4/178.128.91.124/tcp/9001/p2p/16Uiu2HAmAc3wLnqTRfdxDt3paSyUhGZpzjyZ5kVLKieAGGAZC8ZX,p2p,2020-10-07T17:50:18Z,,,,,,
,,info,Processing block batch of size 49 starting from  0x0aab5e8c,253188,462250, 3h15m12s,,initial-sync,2020-10-07T17:50:19Z,,,17.9,30,,
,,info,Processing block batch of size 56 starting from  0x6ba9462c,253252,462251, 3h12m26s,,initial-sync,2020-10-07T17:50:21Z,,,18.1,30,,
,,info,Processing block batch of size 53 starting from  0x6571babf,253316,462251, 3h12m23s,,initial-sync,2020-10-07T17:50:25Z,,,18.1,30,,
29,,info,Peer disconnected,,,,/ip4/121.40.76.62/tcp/13000/p2p/16Uiu2HAky6rMWLCkJ3Tp7YGUFErygAT9WWKdwoDAUQ3omZEsggAC,p2p,2020-10-07T17:50:27Z,,,,,,
,,info,Processing block batch of size 49 starting from  0xcca1c5c8,253380,462251, 3h13m23s,,initial-sync,2020-10-07T17:50:27Z,,,18,29,,
,,info,Processing block batch of size 47 starting from  0xe71b4d0e,253444,462251, 3h13m52s,,initial-sync,2020-10-07T17:50:30Z,,,17.9,29,,
,,info,Processing block batch of size 48 starting from  0xce594199,253509,462252, 3h17m6s,,initial-sync,2020-10-07T17:50:33Z,,,17.6,29,,
,,info,Processing block batch of size 55 starting from  0x2ab1ecc1,253572,462252, 3h14m50s,,initial-sync,2020-10-07T17:50:36Z,,,17.9,29,,
,,info,Processing block batch of size 50 starting from  0x72102936,253636,462252, 3h14m14s,,initial-sync,2020-10-07T17:50:39Z,,,17.9,29,,
,,info,Processing block batch of size 41 starting from  0x84fc9866,253701,462252, 3h22m40s,,initial-sync,2020-10-07T17:50:42Z,,,17.1,29,,
,,info,Processing block batch of size 35 starting from  0xbcda9382,253765,462253, 3h33m50s,,initial-sync,2020-10-07T17:50:45Z,,,16.2,29,,
28,,info,Peer disconnected,,,,/ip4/34.91.184.188/tcp/9000/p2p/16Uiu2HAm7kEaADPrJbiSzh7qrtbSc2PDWFH6HKpUypgnjsZTJJPx,p2p,2020-10-07T17:50:45Z,,,,,,
,,info,Processing block batch of size 48 starting from  0x79c5f8d7,253828,462253, 3h34m25s,,initial-sync,2020-10-07T17:50:49Z,,,16.2,28,,
,,info,Processing block batch of size 46 starting from  0xfb854485,253892,462253, 4h12m33s,,initial-sync,2020-10-07T17:50:53Z,,,13.8,28,,
,,info,Processing block batch of size 56 starting from  0x8b375576,253956,462254, 4h11m34s,,initial-sync,2020-10-07T17:50:56Z,,,13.8,28,,
34,2,info,Peer connected,,,,/ip4/108.53.117.204/tcp/9000/p2p/16Uiu2HAm84dzPExSGhu2XEBhL1MM5kMMnC9VYBC6aipVXJnieVNY,p2p,2020-10-07T17:50:58Z,,,,,,
,,info,Processing block batch of size 49 starting from  0x8d14d556,254020,462254, 4h12m24s,,initial-sync,2020-10-07T17:50:59Z,,,13.8,29,,
35,2,info,Peer connected,,,,/ip4/83.85.228.65/tcp/9000/p2p/16Uiu2HAm8ggeCFJAQHjh7LzWieTvR8e22ZL2RUqFrLtskdRHnCBV,p2p,2020-10-07T17:51:02Z,,,,,,
35,2,info,Peer connected,,,,/ip4/46.4.68.108/tcp/9001/p2p/16Uiu2HAmRbfvv7kynoARxdVhxZWLzzpt4Kouq7DCBsFd3eqv7ZM4,p2p,2020-10-07T17:51:02Z,,,,,,
,,info,Saved state in DB,,,,,state-gen,2020-10-07T17:51:02Z,,,,,7bbefbb2c208,253952
,,info,Processing block batch of size 49 starting from  0xb5617e8a,254084,462254, 4h5m11s,,initial-sync,2020-10-07T17:51:02Z,,,14.2,31,,
35,2,info,Peer connected,,,,/ip4/161.97.64.38/tcp/9001/p2p/16Uiu2HAmTtVYMfMB3rU2ij215pphAgXvaFZQNEXcXpzZwLSUyErH,p2p,2020-10-07T17:51:02Z,,,,,,
,,info,Processing block batch of size 57 starting from  0x2176f747,254148,462254, 3h47m26s,,initial-sync,2020-10-07T17:51:05Z,,,15.2,32,,
,,info,Processing block batch of size 52 starting from  0x14fed44f,254212,462255, 3h14m15s,,initial-sync,2020-10-07T17:51:08Z,,,17.9,32,,
,,info,Processing block batch of size 51 starting from  0xb3ff64f7,254276,462255, 3h12m34s,,initial-sync,2020-10-07T17:51:11Z,,,18,32,,
31,,info,Peer disconnected,,,,/ip4/206.45.199.179/tcp/9000/p2p/16Uiu2HAmFPwNAHyCZGeFe4Qvb3p9n6nRdtpdWJeANSriyGCMrbKo,p2p,2020-10-07T17:51:13Z,,,,,,
,,info,Processing block batch of size 50 starting from  0x8164609f,254341,462255, 3h10m23s,,initial-sync,2020-10-07T17:51:13Z,,,18.2,31,,
30,,info,Peer disconnected,,,,/ip4/46.4.68.108/tcp/9001/p2p/16Uiu2HAmRbfvv7kynoARxdVhxZWLzzpt4Kouq7DCBsFd3eqv7ZM4,p2p,2020-10-07T17:51:17Z,,,,,,
,,info,Processing block batch of size 52 starting from  0x66e3f1e2,254404,462255, 3h12m27s,,initial-sync,2020-10-07T17:51:18Z,,,18,30,,
29,,info,Peer disconnected,,,,/ip4/161.97.64.38/tcp/9001/p2p/16Uiu2HAmTtVYMfMB3rU2ij215pphAgXvaFZQNEXcXpzZwLSUyErH,p2p,2020-10-07T17:51:19Z,,,,,,
,,info,Processing block batch of size 47 starting from  0x9a65c845,254468,462256, 3h13m28s,,initial-sync,2020-10-07T17:51:21Z,,,17.9,29,,
,,info,Processing block batch of size 47 starting from  0x45808e3c,254532,462256, 3h14m29s,,initial-sync,2020-10-07T17:51:24Z,,,17.8,29,,
32,2,info,Peer connected,,,,/ip4/34.91.184.188/tcp/9001/p2p/16Uiu2HAmL6YwLM36F6dDh3ZEXmzk1Zmsw5H55E3Yresf4SdHqz6y,p2p,2020-10-07T17:51:26Z,,,,,,
,,info,Processing block batch of size 55 starting from  0x6f3b046f,254596,462256, 3h15m32s,,initial-sync,2020-10-07T17:51:26Z,,,17.7,30,,
31,2,info,Peer connected,,,,/ip4/23.124.84.197/tcp/13423/p2p/16Uiu2HAmTcHCfxQzQXfgsig4h8M87tFDdSRvzSKfGRU6kCKjYUBG,p2p,2020-10-07T17:51:27Z,,,,,,
,,info,Processing block batch of size 54 starting from  0x9d3eaa12,254660,462256, 3h14m22s,,initial-sync,2020-10-07T17:51:29Z,,,17.8,31,,
,,info,Processing block batch of size 53 starting from  0x6d04f3eb,254724,462257, 3h13m14s,,initial-sync,2020-10-07T17:51:32Z,,,17.9,31,,
,,info,Processing block batch of size 48 starting from  0x905cda8d,254790,462257, 3h14m15s,,initial-sync,2020-10-07T17:51:35Z,,,17.8,31,,
,,info,Processing block batch of size 50 starting from  0xe28e2d54,254852,462257, 3h15m17s,,initial-sync,2020-10-07T17:51:38Z,,,17.7,31,,
,,info,Processing block batch of size 48 starting from  0x8ed1e957,254917,462257, 3h14m41s,,initial-sync,2020-10-07T17:51:41Z,,,17.8,31,,
,,info,Processing block batch of size 47 starting from  0x8de79d41,254980,462258, 3h14m37s,,initial-sync,2020-10-07T17:51:44Z,,,17.8,31,,
,,info,Processing block batch of size 54 starting from  0xd891c3d6,255044,462258, 3h15m7s,,initial-sync,2020-10-07T17:51:47Z,,,17.7,31,,
,,info,Processing block batch of size 52 starting from  0x825cf052,255108,462258, 3h16m9s,,initial-sync,2020-10-07T17:51:49Z,,,17.6,31,,
,,info,Processing block batch of size 54 starting from  0x6e9875ed,255172,462258, 3h15m32s,,initial-sync,2020-10-07T17:51:52Z,,,17.6,31,,
,,info,Processing block batch of size 50 starting from  0x89bc3405,255236,462258, 3h14m23s,,initial-sync,2020-10-07T17:51:55Z,,,17.8,31,,
30,,info,Peer disconnected,,,,/ip4/83.85.228.65/tcp/9000/p2p/16Uiu2HAm8ggeCFJAQHjh7LzWieTvR8e22ZL2RUqFrLtskdRHnCBV,p2p,2020-10-07T17:51:55Z,,,,,,
,,info,Processing block batch of size 53 starting from  0x167caf14,255300,462259, 2h49m5s,,initial-sync,2020-10-07T17:51:57Z,,,20.4,30,,
,,info,Processing block batch of size 63 starting from  0x8ab2c18f,255364,462259, 2h43m48s,,initial-sync,2020-10-07T17:52:00Z,,,21.1,30,,
,,info,Processing block batch of size 53 starting from  0x209422a5,255428,462259, 2h41m50s,,initial-sync,2020-10-07T17:52:03Z,,,21.3,30,,
,,info,Processing block batch of size 49 starting from  0x558f5a3a,255492,462259, 2h41m2s,,initial-sync,2020-10-07T17:52:06Z,,,21.4,30,,
