2020-10-11 00:07:24.790+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485736, Block: a4b83f..f39d, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:07:36.786+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485737, Block:    ... empty, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:07:48.791+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485738, Block: 7ee645..2403, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:08:00.686+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485739, Block:    ... empty, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:08:12.775+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485740, Block:    ... empty, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:08:24.792+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485741, Block: 61d433..fa38, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:08:36.808+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485742, Block: d529ef..d258, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:08:48.810+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485743, Block:    ... empty, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:09:00.802+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485744, Block: 6daccc..93e0, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:09:12.837+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485745, Block: 9ad72a..c7eb, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:09:24.695+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485746, Block: 5f8c4b..3b8f, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:09:36.773+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485747, Block: 44c7de..790e, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:09:48.779+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485748, Block:    ... empty, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:10:00.783+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485749, Block: d42eff..e931, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:10:12.788+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485750, Block: 181072..3d8e, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:10:24.782+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485751, Block:    ... empty, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:10:36.817+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485752, Block: 23b181..4539, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:10:48.814+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485753, Block:    ... empty, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:11:00.722+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485754, Block: 9f32e9..4905, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:11:12.811+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485755, Block: fe3bb9..5176, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:11:24.809+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485756, Block: 4d75a9..886e, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:11:36.776+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485757, Block: 116f96..56d3, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
