datetime,current_slot,head_slot,connected_peer
Oct-11 23:58:08,492890,26309,12
Oct-11 23:58:20,492891,26344,12
Oct-11 23:58:32,492892,26458,12
Oct-11 23:58:46,492893,26458,12
Oct-11 23:58:57,492894,26657,12
Oct-11 23:59:08,492895,26752,12
Oct-11 23:59:20,492896,26873,12
Oct-11 23:59:32,492897,26951,12
Oct-11 23:59:45,492898,27072,12
Oct-11 23:59:56,492899,27173,12
Oct-12 00:00:09,492900,27296,12
Oct-12 00:00:20,492901,27354,12
Oct-12 00:00:33,492902,27456,12
Oct-12 00:00:44,492903,27552,12
Oct-12 00:00:56,492904,27676,12
Oct-12 00:01:08,492905,27776,12
Oct-12 00:01:20,492906,27890,12
Oct-12 00:01:33,492907,28000,13
Oct-12 00:01:44,492908,28104,13
Oct-12 00:01:57,492909,28225,13
Oct-12 00:02:09,492910,28320,13
Oct-12 00:02:20,492911,28441,13
Oct-12 00:02:33,492912,28441,13
Oct-12 00:02:44,492913,28640,13
Oct-12 00:02:56,492914,28737,13
Oct-12 00:03:09,492915,28737,13
Oct-12 00:03:20,492916,28960,13
Oct-12 00:03:32,492917,29083,13
Oct-12 00:03:45,492918,29195,13
Oct-12 00:03:56,492919,29293,13
Oct-12 00:04:08,492920,29405,13
Oct-12 00:04:20,492921,29474,13
Oct-12 00:04:33,492922,29600,13
Oct-12 00:04:44,492923,29697,13
Oct-12 00:04:58,492924,29697,13
Oct-12 00:05:08,492925,29920,13
Oct-12 00:05:21,492926,29920,13
Oct-12 00:05:32,492927,30152,13
Oct-12 00:05:44,492928,30274,13
Oct-12 00:05:56,492929,30370,13
Oct-12 00:06:08,492930,30496,13
Oct-12 00:06:21,492931,30625,13
Oct-12 00:06:32,492932,30720,13
Oct-12 00:06:45,492933,30720,13
Oct-12 00:06:56,492934,30967,13
Oct-12 00:07:08,492935,31096,13
Oct-12 00:07:20,492936,31201,13
Oct-12 00:07:32,492937,31319,13
Oct-12 00:07:44,492938,31422,13
Oct-12 00:07:58,492939,31422,13
Oct-12 00:08:08,492940,31617,13
Oct-12 00:08:20,492941,31741,13
Oct-12 00:08:32,492942,31840,13
Oct-12 00:08:45,492943,31968,13
Oct-12 00:08:57,492944,31968,13
Oct-12 00:09:09,492945,32224,13
Oct-12 00:09:20,492946,32326,13
Oct-12 00:09:32,492947,32438,13
Oct-12 00:09:44,492948,32536,13
Oct-12 00:09:56,492949,32641,13
Oct-12 00:10:08,492950,32753,12
Oct-12 00:10:20,492951,32872,12
Oct-12 00:10:33,492952,32872,12
Oct-12 00:10:45,492953,33089,12
Oct-12 00:10:58,492954,33089,12
Oct-12 00:11:08,492955,33318,12
Oct-12 00:11:20,492956,33441,11
Oct-12 00:11:32,492957,33508,11
Oct-12 00:11:45,492958,33632,11
Oct-12 00:11:58,492959,33632,11
Oct-12 00:12:08,492960,33869,11
Oct-12 00:12:22,492961,33954,11
Oct-12 00:12:32,492962,34063,11
Oct-12 00:12:46,492963,34063,11
Oct-12 00:12:57,492964,34285,11
Oct-12 00:13:08,492965,34383,11
Oct-12 00:13:20,492966,34489,11
Oct-12 00:13:32,492967,34607,11
Oct-12 00:13:45,492968,34720,11
Oct-12 00:13:57,492969,34720,11
Oct-12 00:14:08,492970,34963,11
Oct-12 00:14:21,492971,35087,11
Oct-12 00:14:33,492972,35201,11
Oct-12 00:14:44,492973,35304,11
Oct-12 00:14:56,492974,35424,11
Oct-12 00:15:08,492975,35542,11
Oct-12 00:15:20,492976,35668,11
Oct-12 00:15:33,492977,35777,11
Oct-12 00:15:45,492978,35777,11
Oct-12 00:15:57,492979,35777,11
Oct-12 00:16:09,492980,36128,11
Oct-12 00:16:21,492981,36128,11
Oct-12 00:16:32,492982,36374,11
Oct-12 00:16:45,492983,36481,11
Oct-12 00:16:56,492984,36583,11
Oct-12 00:17:08,492985,36704,11
Oct-12 00:17:20,492986,36833,11
Oct-12 00:17:32,492987,36955,11
Oct-12 00:17:44,492988,37068,11
Oct-12 00:17:56,492989,37192,11
Oct-12 00:18:08,492990,37312,11
Oct-12 00:18:22,492991,37442,11
Oct-12 00:18:32,492992,37543,11
Oct-12 00:18:44,492993,37608,11
Oct-12 00:18:57,492994,37696,11
Oct-12 00:19:08,492995,37808,11
Oct-12 00:19:21,492996,37921,11
Oct-12 00:19:32,492997,38017,11
Oct-12 00:19:46,492998,38017,10
Oct-12 00:19:56,492999,38242,10
Oct-12 00:20:08,493000,38388,10
Oct-12 00:20:21,493001,38498,10
Oct-12 00:20:34,493002,38498,10
Oct-12 00:20:44,493003,38736,10
Oct-12 00:20:56,493004,38865,11
Oct-12 00:21:08,493005,38976,11
Oct-12 00:21:20,493006,39104,11
Oct-12 00:21:34,493007,39254,11
Oct-12 00:21:44,493008,39358,11
Oct-12 00:21:57,493009,39463,11
Oct-12 00:22:08,493010,39581,11
Oct-12 00:22:20,493011,39677,11
Oct-12 00:22:34,493012,39677,11
Oct-12 00:22:44,493013,39863,11
Oct-12 00:22:57,493014,39968,11
Oct-12 00:23:08,493015,40095,11
Oct-12 00:23:20,493016,40208,11
Oct-12 00:23:33,493017,40336,11
Oct-12 00:23:45,493018,40448,11
Oct-12 00:23:57,493019,40576,11
Oct-12 00:24:08,493020,40696,11
Oct-12 00:24:22,493021,40696,11
Oct-12 00:24:33,493022,40696,11
Oct-12 00:24:45,493023,40696,11
Oct-12 00:24:57,493024,41107,12
Oct-12 00:25:09,493025,41217,12
Oct-12 00:25:20,493026,41312,12
Oct-12 00:25:32,493027,41437,12
Oct-12 00:25:45,493028,41536,12
Oct-12 00:25:58,493029,41536,13
Oct-12 00:26:08,493030,41710,13
Oct-12 00:26:20,493031,41761,13
Oct-12 00:26:33,493032,41888,13
Oct-12 00:26:44,493033,41990,13
Oct-12 00:26:57,493034,41990,13
Oct-12 00:27:08,493035,42225,13
Oct-12 00:27:22,493036,42225,13
Oct-12 00:27:32,493037,42446,13
Oct-12 00:27:46,493038,42446,13
