datetime,est_time,speed,distance_in_slots,peers
Oct 08 00:20:26, 4 hrs 11 mins, speed: 26.63 slots/sec,401067, peers: 34
Oct 08 00:20:38, 5 hrs 13 mins, speed: 21.33 slots/sec,400810, peers: 35
Oct 08 00:20:50, 4 hrs 10 mins, speed: 26.67 slots/sec,400299, peers: 38
Oct 08 00:21:02, 5 hrs 12 mins, speed: 21.33 slots/sec,400300, peers: 35
Oct 08 00:21:14, 5 hrs 33 mins, speed: 20.02 slots/sec,400110, peers: 33
Oct 08 00:21:26, 4 hrs 23 mins, speed: 25.31 slots/sec,399599, peers: 37
Oct 08 00:21:38, 5 hrs 33 mins, speed: 19.98 slots/sec,399344, peers: 40
Oct 08 00:21:50, 4 hrs 22 mins, speed: 25.31 slots/sec,399089, peers: 38
Oct 08 00:22:02, 4 hrs 9 mins, speed: 26.67 slots/sec,398834, peers: 38
Oct 08 00:22:14, 4 hrs 8 mins, speed: 26.69 slots/sec,398322, peers: 37
Oct 08 00:22:26, 4 hrs 8 mins, speed: 26.69 slots/sec,398067, peers: 41
Oct 08 00:22:38, 4 hrs 8 mins, speed: 26.65 slots/sec,397814, peers: 38
Oct 08 00:22:50, 4 hrs 8 mins, speed: 26.69 slots/sec,397557, peers: 39
Oct 08 00:23:02, 5 hrs 10 mins, speed: 21.33 slots/sec,397302, peers: 37
Oct 08 00:23:14, 5 hrs 10 mins, speed: 21.33 slots/sec,397047, peers: 34
Oct 08 00:23:26, 4 hrs 7 mins, speed: 26.71 slots/sec,396536, peers: 32
Oct 08 00:23:38, 4 hrs 7 mins, speed: 26.65 slots/sec,396282, peers: 32
Oct 08 00:23:50, 4 hrs 7 mins, speed: 26.67 slots/sec,396026, peers: 34
Oct 08 00:24:02, 4 hrs 7 mins, speed: 26.67 slots/sec,395771, peers: 34
Oct 08 00:24:14, 5 hrs 9 mins, speed: 21.31 slots/sec,395517, peers: 30
Oct 08 00:24:26, 4 hrs 6 mins, speed: 26.69 slots/sec,395005, peers: 28
Oct 08 00:24:38, 4 hrs 6 mins, speed: 26.67 slots/sec,394750, peers: 27
Oct 08 00:24:50, 4 hrs 6 mins, speed: 26.67 slots/sec,394495, peers: 25
Oct 08 00:25:02, 4 hrs 6 mins, speed: 26.69 slots/sec,394240, peers: 25
Oct 08 00:25:14, 4 hrs 6 mins, speed: 26.67 slots/sec,393729, peers: 29
Oct 08 00:25:26, 4 hrs 5 mins, speed: 26.67 slots/sec,393474, peers: 28
Oct 08 00:25:38, 4 hrs 5 mins, speed: 26.67 slots/sec,393219, peers: 30
Oct 08 00:25:50, 4 hrs 5 mins, speed: 26.67 slots/sec,392964, peers: 30
Oct 08 00:26:02, 4 hrs 5 mins, speed: 26.67 slots/sec,392453, peers: 28
Oct 08 00:26:14, 4 hrs 5 mins, speed: 26.67 slots/sec,392198, peers: 28
Oct 08 00:26:26, 4 hrs 4 mins, speed: 26.67 slots/sec,391943, peers: 31
Oct 08 00:26:38, 4 hrs 4 mins, speed: 26.67 slots/sec,391688, peers: 31
Oct 08 00:26:50, 4 hrs 4 mins, speed: 26.67 slots/sec,391177, peers: 31
Oct 08 00:27:02, 3 hrs 23 mins, speed: 32.00 slots/sec,390666, peers: 30
Oct 08 00:27:14, 2 hrs 32 mins, speed: 42.63 slots/sec,389901, peers: 30
Oct 08 00:27:26, 2 hrs 15 mins, speed: 48.00 slots/sec,389388, peers: 31
Oct 08 00:27:38, 2 hrs 32 mins, speed: 42.56 slots/sec,389138, peers: 30
Oct 08 00:27:50, 3 hrs 0 mins, speed: 36.00 slots/sec,388942, peers: 34
Oct 08 00:28:02, 4 hrs 15 mins, speed: 25.36 slots/sec,388688, peers: 31
Oct 08 00:28:14, 5 hrs 23 mins, speed: 20.00 slots/sec,388432, peers: 33
Oct 08 00:28:26, 4 hrs 14 mins, speed: 25.42 slots/sec,387922, peers: 32
Oct 08 00:28:38, 2 hrs 53 mins, speed: 37.25 slots/sec,387158, peers: 31
Oct 08 00:28:50, 2 hrs 1 mins, speed: 53.13 slots/sec,386142, peers: 37
Oct 08 00:29:02, 1 hr 33 mins, speed: 68.86 slots/sec,385131, peers: 37
Oct 08 00:29:14, 1 hr 19 mins, speed: 80.88 slots/sec,384044, peers: 38
Oct 08 00:29:26, 1 hr 14 mins, speed: 85.19 slots/sec,383073, peers: 36
Oct 08 00:29:38, 1 hr 10 mins, speed: 90.90 slots/sec,381783, peers: 36
Oct 08 00:29:50, 1 hr 10 mins, speed: 90.57 slots/sec,380788, peers: 36
Oct 08 00:30:02, 1 hr 7 mins, speed: 93.07 slots/sec,379581, peers: 32
Oct 08 00:30:14, 1 hr 2 mins, speed: 101.30 slots/sec,378215, peers: 31
Oct 08 00:30:26, 1 hr 2 mins, speed: 101.30 slots/sec,376925, peers: 35
Oct 08 00:30:38, 1 hr 1 mins, speed: 101.90 slots/sec,375901, peers: 31
Oct 08 00:30:50, 1 hr 16 mins, speed: 81.96 slots/sec,375651, peers: 33
Oct 08 00:31:02, 1 hr 37 mins, speed: 64.11 slots/sec,375142, peers: 33
Oct 08 00:31:14, 1 hr 46 mins, speed: 58.59 slots/sec,374117, peers: 40
Oct 08 00:31:26, 2 hrs 9 mins, speed: 47.96 slots/sec,373603, peers: 39
Oct 08 00:31:38, 1 hr 45 mins, speed: 58.77 slots/sec,372834, peers: 35
Oct 08 00:31:50, 1 hr 29 mins, speed: 69.40 slots/sec,371815, peers: 36
Oct 08 00:32:02, 1 hr 29 mins, speed: 69.36 slots/sec,370792, peers: 36
Oct 08 00:32:14, 1 hr 22 mins, speed: 74.71 slots/sec,370021, peers: 35
Oct 08 00:32:26, 1 hr 22 mins, speed: 74.69 slots/sec,369253, peers: 37
Oct 08 00:32:38, 1 hr 22 mins, speed: 74.27 slots/sec,368254, peers: 33
Oct 08 00:32:50, 1 hr 21 mins, speed: 74.69 slots/sec,367211, peers: 35
Oct 08 00:33:02, 1 hr 16 mins, speed: 79.69 slots/sec,366200, peers: 32
Oct 08 00:33:14, 1 hr 16 mins, speed: 79.96 slots/sec,365419, peers: 30
Oct 08 00:33:26, 1 hr 27 mins, speed: 69.83 slots/sec,364906, peers: 29
Oct 08 00:33:38, 1 hr 34 mins, speed: 64.09 slots/sec,364139, peers: 27
Oct 08 00:33:50, 1 hr 52 mins, speed: 53.67 slots/sec,363628, peers: 25
Oct 08 00:34:02, 2 hrs 6 mins, speed: 48.02 slots/sec,363118, peers: 28
Oct 08 00:34:14, 2 hrs 22 mins, speed: 42.56 slots/sec,362867, peers: 32
Oct 08 00:34:26, 3 hrs 9 mins, speed: 31.92 slots/sec,362611, peers: 30
Oct 08 00:34:38, 3 hrs 8 mins, speed: 32.00 slots/sec,362096, peers: 28
Oct 08 00:34:50, 3 hrs 46 mins, speed: 26.65 slots/sec,361843, peers: 32
Oct 08 00:35:02, 3 hrs 45 mins, speed: 26.71 slots/sec,361589, peers: 31
Oct 08 00:35:14, 3 hrs 45 mins, speed: 26.71 slots/sec,361333, peers: 28
Oct 08 00:35:26, 3 hrs 45 mins, speed: 26.67 slots/sec,360820, peers: 31
Oct 08 00:35:38, 3 hrs 44 mins, speed: 26.71 slots/sec,360565, peers: 26
Oct 08 00:35:50, 3 hrs 7 mins, speed: 32.06 slots/sec,360054, peers: 26
Oct 08 00:36:02, 2 hrs 40 mins, speed: 37.36 slots/sec,359544, peers: 25
Oct 08 00:36:14, 2 hrs 40 mins, speed: 37.34 slots/sec,359032, peers: 22
Oct 08 00:36:26, 2 hrs 20 mins, speed: 42.59 slots/sec,358525, peers: 25
Oct 08 00:36:38, 2 hrs 19 mins, speed: 42.67 slots/sec,358010, peers: 26
Oct 08 00:36:50, 2 hrs 19 mins, speed: 42.65 slots/sec,357501, peers: 30
Oct 08 00:37:02, 2 hrs 19 mins, speed: 42.65 slots/sec,356989, peers: 30
Oct 08 00:37:14, 2 hrs 3 mins, speed: 47.98 slots/sec,356226, peers: 34
Oct 08 00:37:26, 2 hrs 3 mins, speed: 47.98 slots/sec,355711, peers: 34
Oct 08 00:37:38, 1 hr 50 mins, speed: 53.38 slots/sec,354943, peers: 31
Oct 08 00:37:50, 1 hr 50 mins, speed: 53.25 slots/sec,354437, peers: 30
Oct 08 00:38:02, 1 hr 50 mins, speed: 53.42 slots/sec,353666, peers: 30
Oct 08 00:38:14, 1 hr 40 mins, speed: 58.63 slots/sec,352901, peers: 31
Oct 08 00:38:26, 1 hr 50 mins, speed: 53.31 slots/sec,352388, peers: 29
Oct 08 00:38:38, 1 hr 49 mins, speed: 53.42 slots/sec,351877, peers: 34
Oct 08 00:38:50, 1 hr 49 mins, speed: 53.36 slots/sec,351109, peers: 32
Oct 08 00:39:02, 2 hrs 1 mins, speed: 48.04 slots/sec,350599, peers: 32
Oct 08 00:39:14, 2 hrs 1 mins, speed: 47.98 slots/sec,350089, peers: 34
Oct 08 00:39:26, 2 hrs 16 mins, speed: 42.65 slots/sec,349834, peers: 34
Oct 08 00:39:38, 2 hrs 36 mins, speed: 37.31 slots/sec,349322, peers: 33
Oct 08 00:39:50, 3 hrs 1 mins, speed: 32.02 slots/sec,349066, peers: 39
Oct 08 00:40:02, 4 hrs 32 mins, speed: 21.38 slots/sec,349067, peers: 38
Oct 08 00:40:14, 3 hrs 43 mins, speed: 26.04 slots/sec,348588, peers: 36
Oct 08 00:40:26, 4 hrs 40 mins, speed: 20.69 slots/sec,348333, peers: 33
Oct 08 00:40:38, 3 hrs 42 mins, speed: 26.00 slots/sec,347822, peers: 30
Oct 08 00:40:50, 3 hrs 4 mins, speed: 31.31 slots/sec,347568, peers: 32
Oct 08 00:41:02, 3 hrs 0 mins, speed: 32.00 slots/sec,347056, peers: 31
Oct 08 00:41:14, 2 hrs 34 mins, speed: 37.34 slots/sec,346545, peers: 29
Oct 08 00:41:26, 2 hrs 34 mins, speed: 37.31 slots/sec,346035, peers: 36
Oct 08 00:41:38, 2 hrs 14 mins, speed: 42.69 slots/sec,345523, peers: 34
Oct 08 00:41:50, 2 hrs 34 mins, speed: 37.32 slots/sec,345269, peers: 35
Oct 08 00:42:02, 2 hrs 33 mins, speed: 37.34 slots/sec,344757, peers: 30
Oct 08 00:42:14, 2 hrs 33 mins, speed: 37.36 slots/sec,344246, peers: 28
Oct 08 00:42:26, 2 hrs 59 mins, speed: 32.00 slots/sec,343991, peers: 29
Oct 08 00:42:38, 2 hrs 59 mins, speed: 31.98 slots/sec,343738, peers: 30
Oct 08 00:42:50, 2 hrs 58 mins, speed: 32.00 slots/sec,343225, peers: 29
Oct 08 00:43:02, 3 hrs 34 mins, speed: 26.67 slots/sec,342970, peers: 28
Oct 08 00:43:14, 2 hrs 58 mins, speed: 32.00 slots/sec,342459, peers: 28
Oct 08 00:43:26, 2 hrs 32 mins, speed: 37.38 slots/sec,341948, peers: 34
Oct 08 00:43:38, 2 hrs 57 mins, speed: 32.00 slots/sec,341693, peers: 33
Oct 08 00:43:50, 2 hrs 32 mins, speed: 37.31 slots/sec,341183, peers: 30
Oct 08 00:44:02, 2 hrs 32 mins, speed: 37.34 slots/sec,340671, peers: 28
Oct 08 00:44:14, 2 hrs 57 mins, speed: 31.98 slots/sec,340417, peers: 32
Oct 08 00:44:26, 2 hrs 31 mins, speed: 37.34 slots/sec,339905, peers: 31
Oct 08 00:44:38, 2 hrs 56 mins, speed: 32.02 slots/sec,339650, peers: 31
Oct 08 00:44:50, 2 hrs 56 mins, speed: 32.00 slots/sec,339139, peers: 33
