,seconds_elapsed,lighthouse_sync_percentage,nimbus_sync_percentage,prysm_sync_percentage,teku_sync_percentage,minutes_elapsed
18492,369.0,,,1.408459819309857,,6.15
18493,375.0,,,1.4360724486361949,,6.25
18494,379.0,,,1.450094486965976,,6.316666666666666
18495,385.0,,,1.4634693542959212,,6.416666666666667
18496,388.0,,,1.4772756689590902,,6.466666666666667
18497,391.0,,,1.491081983622259,,6.516666666666667
18498,395.0,,,1.5048882982854284,,6.583333333333333
18499,399.0,,,1.5186946129485974,,6.65
18500,403.0,,,1.5327166512783783,,6.716666666666667
18501,407.0,,,1.5463072422749353,,6.783333333333333
18502,411.0,,,1.5601135569381046,,6.85
18503,415.0,,,1.5739198716012734,,6.916666666666667
18504,418.0,,,1.5879419099310548,,6.966666666666667
18505,423.0,,,1.615554539257393,,7.05
18506,426.0,,,1.62914513025395,,7.1
18507,429.0,,,1.642951444917119,,7.15
18508,435.0,,,1.6705640742434569,,7.25
18509,439.0,,,1.6843703889066264,,7.316666666666666
18510,442.0,,,1.6981767035697954,,7.366666666666666
18511,446.0,,,1.7119830182329643,,7.433333333333334
18512,450.0,,,1.7257893328961333,,7.5
18513,454.0,,,1.7398113712259144,,7.566666666666666
18514,459.00000000000006,,,1.7534019622224715,,7.650000000000001
18515,478.00000000000006,,,1.7672082768856405,,7.966666666666668
18516,481.00000000000006,,,1.7814460388820337,,8.016666666666667
18517,484.00000000000006,,,1.7948209062119789,,8.066666666666668
18518,489.00000000000006,,,1.808627220875148,,8.15
18519,493.00000000000006,,,1.8226492592049288,,8.216666666666667
18520,497.00000000000006,,,1.8368870212013217,,8.283333333333335
18521,501.00000000000006,,,1.850046164864655,,8.350000000000001
18522,508.00000000000006,,,1.877658794190993,,8.466666666666667
18523,511.00000000000006,,,1.8914651088541623,,8.516666666666667
18524,515.0,,,1.9052714235173314,,8.583333333333334
18525,519.0,,,1.9199406328469484,,8.65
18526,523.0,,,1.9328840528436693,,8.716666666666667
18527,527.0,,,1.9469060911734504,,8.783333333333333
18528,531.0,,,1.9607124058366194,,8.85
18529,535.0,,,1.9743029968331764,,8.916666666666666
18530,539.0,,,1.9881093114963457,,8.983333333333333
18531,543.0,,,2.0021313498261266,,9.05
18532,547.0,,,2.015721940822684,,9.116666666666667
18533,550.0,,,2.0297439791524647,,9.166666666666666
18534,554.0,,,2.043334570149022,,9.233333333333333
18535,558.0,,,2.057140884812191,,9.3
18536,561.0,,,2.07094719947536,,9.35
18537,565.0,,,2.084753514138529,1.1138093961664792,9.416666666666666
18538,568.0,,,2.0985598288016982,,9.466666666666667
18539,571.0,,,2.112581867131479,,9.516666666666667
18540,575.0,,,2.1261724581280363,,9.583333333333334
18541,578.0,,,2.1399787727912054,,9.633333333333333
18542,582.0,,,2.1537850874543745,,9.7
18543,592.0,,,2.1675914021175435,,9.866666666666667
18544,595.0,,,2.1813977167807126,,9.916666666666666
18545,599.0,,,2.1952040314438817,,9.983333333333333
18546,602.0,,,2.209226069773663,,10.033333333333333
18547,605.0,,,2.2228166607702198,,10.083333333333334
18548,609.0,,,2.236622975433389,,10.15
18549,615.0,,,2.264235604759727,,10.25
18550,619.0,,,2.278041919422896,,10.316666666666666
18551,623.0,,,2.2920639577526774,,10.383333333333333
18552,627.0,,,2.3058702724158464,,10.45
18553,631.0,,,2.319460863412403,,10.516666666666667
18554,635.0,,,2.3332671780755723,,10.583333333333334
18555,639.0,,,2.3470734927387413,,10.65
18556,643.0,,,2.3608798074019104,,10.716666666666667
18557,647.0,,,2.3746861220650795,,10.783333333333333
18558,651.0,,,2.388492436728249,,10.85
18559,656.0,,,2.40251447505803,,10.933333333333334
18560,661.0,,,2.4161050660545866,,11.016666666666667
18561,665.0,,,2.4299113807177557,,11.083333333333334
18562,669.0,,,2.4437176953809248,,11.15
18563,673.0,,,2.457524010044094,,11.216666666666667
18564,677.0,,,2.471330324707263,,11.283333333333333
18565,686.0,,,2.485136639370432,,11.433333333333334
18566,690.0,,,2.4989429540336014,,11.5
18567,695.0,,,2.51274926869677,,11.583333333333334
18568,700.0,,,2.526555583359939,,11.666666666666666
18569,704.0,,,2.540361898023108,,11.733333333333333
18570,712.0,,,2.5679745273494463,,11.866666666666667
18571,716.0,,,2.5817808420126154,,11.933333333333334
18572,721.0,,,2.595587156675785,1.4146659571999536,12.016666666666667
18573,725.0,,,2.609393471338954,,12.083333333333334
18574,729.0,,,2.6231997860021226,,12.15
18575,733.0,,,2.6370061006652916,,12.216666666666667
18576,737.0,,,2.651028138995073,,12.283333333333333
18577,741.0,,,2.664834453658242,,12.35
18578,746.0,,,2.678425044654799,,12.433333333333334
18579,751.0,,,2.6922313593179683,,12.516666666666667
18580,760.0,,,2.7200597123109183,,12.666666666666666
18581,764.0,,,2.7338660269740873,,12.733333333333333
18582,773.0,,,2.761262932633813,,12.883333333333333
18583,777.0,,,2.7750692472969822,,12.95
18584,781.0,,,2.7890912856267636,,13.016666666666667
18585,786.0,,,2.802681876623321,,13.1
18586,790.0,,,2.81648819128649,,13.166666666666666
18587,794.0,,,2.830294505949659,,13.233333333333333
18588,798.0,,,2.844100820612828,,13.3
18589,802.0,,,2.8579071352759966,,13.366666666666667
18590,808.0,,,2.8717134499391657,,13.466666666666667
18591,812.0,,,2.8855197646023347,,13.533333333333333
18592,819.0,,,2.9131323939286733,,13.65
18593,822.0,,,2.9269387085918424,,13.7
18594,826.0,,,2.9407450232550114,,13.766666666666667
18595,830.0,,,2.9547670615847923,,13.833333333333334
18596,834.0,,,2.968357652581349,,13.9
18597,837.0,,,2.982163967244518,,13.95
18598,842.0,,,2.9959702819076877,,14.033333333333333
18599,845.0,,,3.0097765965708567,,14.083333333333334
18600,849.0,,,3.023582911234026,,14.15
18601,853.0,,,3.037389225897195,1.670714094249719,14.216666666666667
